"id","department","title","url",
1,"3D Animation (see CIDG & MERT)","3D Animation (see CIDG & MERT)","/academic/mert",
2,"3D Animation (see CIDG & MERT)","Degrees & Certificates","/degrees-certificates#mediaarts",
3,"3D Animation (see CIDG & MERT)","Spring 2020 Classes","/academic/mert/fall-2017-learn-3d-computer-animation-no-experience-necessary.shtml",
4,"3D Animation (see CIDG & MERT)","Courses","/academic/mert/courses.shtml",
5,"3D Animation (see CIDG & MERT)","Gallery","/academic/mert/gallery.shtml",
6,"3D Animation (see CIDG & MERT)","Careers","/academic/mert/careers.shtml",
7,"3D Animation (see CIDG & MERT)","Contact & Directions","/academic/mert/contact.shtml",
8,"AB540","AB540","/ab540",
9,"AB540","DREAMERS Steps to Enrollment","/ab540/Steps%20to%20Enrollment_AB540_Flyer_2019.pdf",
10,"AB540","DREAMERS/AB540 Brochure","/ab540/DREAMER%20AB540%20Brochure_Oct.%202018.pdf",
11,"AB540","Steps to Enrollment","/offices/admissions-records/steps-to-enrollment.shtml",
12,"AB540","Financial Aid ","/ab540/financial-aid.shtml",
13,"AB540","Scholarships & Resources","/ab540/scholarships.shtml",
14,"AB540","CSU/UC AB540 Resources","/ab540/AB540%20Dreamers%20Resource%20Center_June%202018.pdf",
15,"AB540","VVC Services/Resources","/ab540/VVC%20Student%20Services_1.pdf",
16,"AB540","Community Resources","/ab540/community-resources.shtml",
17,"AB540","Contact Us","/ab540/contact-us.shtml",
18,"Academic Commons","Academic Commons","/offices/student_services",
19,"Academic Commons","WEBADVISOR","https://webadvisor.vvc.edu",
20,"Academic Commons","New BOGG Regulations","/keepthebogg",
21,"Academic Commons","Academic & Tutoring Success Services","/tutoring-services",
22,"Academic Commons","Academic Commons Building","/offices/student_services/academic-commons.shtml",
23,"Academic Commons","Basic Skills","/offices/student_services/st_bskl.shtml",
24,"Academic Commons","Career & Transfer Services","/offices/student_services/st_career-transfer_svcs.shtml",
25,"Academic Commons","C.A.R.E. Information","/offices/student_services/st_care.shtml",
26,"Academic Commons","Certification Pass Rates","/offices/student_services/certification-pass-rates.shtml",
27,"Academic Commons","Complaint Process","/offices/student_services/complaint-process.shtml",
28,"Academic Commons","Counseling Services","/offices/student_services/st_counseling.shtml",
29,"Academic Commons","Disabled Students Programs & Services","/offices/student_services/st_dsps.shtml",
30,"Academic Commons","E.O.P.S. Information","/offices/student_services/st_eops.shtml",
31,"Academic Commons","Max. Units in Remedial Classes","/offices/student_services/st_max_remedial.shtml",
32,"Academic Commons","On-Campus Registration Locations","/offices/student_services/on-campus-registration-labs.shtml",
33,"Academic Commons","Student Appeals Process","/offices/Board_of_Trustees/Board_Policy_Manual/AP%205520(a).pdf",
34,"Academic Commons","Student Body Privileges","/offices/student_services/st_body_privileges.shtml",
35,"Academic Commons","Student Clubs","/offices/student_services/st_clubs.shtml",
36,"Academic Commons","Student E-mail","/offices/student_services/student-email-how-to-login.shtml",
37,"Academic Commons","Student Employment Office","/offices/student_services/st_employment_ofc.shtml",
38,"Academic Commons","Student Honors","/offices/student_services/student-honors.shtml",
39,"Academic Commons","Student Government","/offices/student_services/st_asb.shtml",
